age,gender,height_cm,weight_kg,goal,activity_level,diet_preference,health_flag,workout_minutes,calories_burned,bmi_category,exercise_category,diet_plan
15,male,155,60,muscle_gain,moderate,balanced,none,40,205,overweight,strength,high_protein_balanced
18,female,162,54,fat_loss,beginner,vegetarian,knee,30,145,healthy,low_impact_cardio,vegetarian_deficit
24,male,176,78,muscle_gain,moderate,high_protein,none,45,340,healthy,strength,lean_bulk
31,female,168,72,fat_loss,moderate,balanced,back,38,260,overweight,low_impact_strength,balanced_deficit
42,male,172,88,strength,advanced,balanced,none,55,520,overweight,strength,performance_balanced
29,female,160,64,cardio_endurance,moderate,vegan,none,42,360,overweight,cardio,vegan_endurance
36,male,180,95,fat_loss,beginner,keto,back,28,210,overweight,low_impact_cardio,low_carb_deficit
22,female,170,58,mobility,beginner,balanced,none,25,110,healthy,mobility,balanced_maintenance
27,male,182,74,cardio_endurance,advanced,balanced,none,50,610,healthy,cardio,endurance_carbs
48,female,158,76,fat_loss,beginner,vegetarian,knee,30,160,overweight,low_impact_strength,vegetarian_deficit
33,male,169,62,muscle_gain,moderate,vegetarian,none,45,305,healthy,strength,vegetarian_lean_bulk
40,female,165,70,strength,moderate,balanced,back,40,255,overweight,core_strength,balanced_maintenance
19,male,171,66,general_fitness,beginner,balanced,none,35,220,healthy,full_body,balanced_maintenance
55,male,174,91,fat_loss,beginner,balanced,knee,25,150,overweight,low_impact_cardio,balanced_deficit
28,female,172,69,muscle_gain,advanced,high_protein,none,52,445,healthy,strength,lean_bulk
23,male,165,52,muscle_gain,moderate,vegan,none,42,260,healthy,strength,vegan_lean_bulk
37,female,156,82,fat_loss,beginner,balanced,back,24,130,obese,mobility,balanced_deficit
45,male,181,84,strength,advanced,high_protein,none,60,560,healthy,strength,performance_balanced
26,female,164,49,muscle_gain,beginner,vegetarian,none,32,155,healthy,strength,vegetarian_lean_bulk
52,male,170,79,mobility,beginner,balanced,back,28,120,overweight,mobility,balanced_maintenance
30,male,178,82,fat_loss,moderate,high_protein,none,42,365,overweight,conditioning,high_protein_deficit
21,female,159,57,cardio_endurance,moderate,balanced,none,44,350,healthy,cardio,endurance_carbs
34,male,175,101,fat_loss,beginner,balanced,knee,30,225,obese,low_impact_strength,balanced_deficit
39,female,169,63,general_fitness,moderate,vegan,none,38,240,healthy,full_body,vegan_maintenance
44,male,167,70,mobility,beginner,vegetarian,back,26,105,overweight,mobility,vegetarian_maintenance
